,ID,Description,GeneRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0005911,GO:0005911,cell-cell junction,44/805,8.25E-09,1.21E-06,1.08E-06,AOC1/WAS/LCP2/COL17A1/CLDN18/CEACAM1/GRHL2/P2RX7/EPB41L4B/MISP/CORO1A/PERP/ZAP70/SLC2A1/PPL/EPCAM/BAIAP2L2/CRB3/DSG3/MARVELD3/EPHA2/CD53/ATP1B1/CGN/MARVELD2/PCDH1/STEAP1/EVPL/GJB1/KRT8/PDZD3/THEMIS/CLDN7/IQGAP3/PKP3/SAPCD2/AMTN/GJB3/CLDN4/GJB5/GJB4/AJAP1/GJC2/CD3E,44
GO:0016324,GO:0016324,apical plasma membrane,38/805,3.16E-09,6.98E-07,6.20E-07,NPC1L1/ERBB3/CDHR2/CEACAM1/AQP6/CEACAM6/CDHR5/SLC52A3/CEACAM5/SCNN1A/SLC2A1/EPCAM/RAB17/CRB3/ANO1/CD36/KCNK1/ATP1B1/ABCG8/MAL2/SLC39A4/PTPRO/MARVELD2/OTOA/CD300LG/AQP5/AMN/MYO1A/MUC17/KISS1/MUC13/SLC9A4/MUC1/SAPCD2/CYP4F12/CLDN4/AJAP1/SLC44A4,38
GO:0009897,GO:0009897,external side of plasma membrane,37/805,2.22E-06,0.00013963,0.000123982,ITGA3/TNFRSF9/FCGR2B/PTPRC/P2RX7/TLR8/LILRB1/EBI3/CD33/CEACAM5/SDC1/F3/CSF3R/CCR2/CD244/ULBP2/CD36/STAB2/CD226/CD8A/ITGB2/CD3G/CCR5/AZGP1/VCAM1/CCR1/CX3CR1/P2RY12/MUC17/CXCR6/ADGRE1/FCRL6/DMBT1/CD3E/FCGR3A/TNF/CLEC12B,37
GO:0030667,GO:0030667,secretory granule membrane,35/805,2.07E-08,2.28E-06,2.02E-06,ITGAL/MGST1/CEACAM1/PTPRC/CEACAM6/CD33/SIGLEC5/CYSTM1/HVCN1/NCKAP1L/CD68/SIGLEC9/LILRB2/ADGRE3/CD36/SLC27A2/ITGAX/CD53/DOK3/ITGB2/FCGR3B/TMEM184A/CYBB/CLEC4D/LAIR1/CD300A/RAB26/FPR1/CLEC12A/TBC1D10C/ABCA13/DMBT1/CR1/LILRB3/NFAM1,35
GO:0062023,GO:0062023,collagen-containing extracellular matrix,30/805,0.001338752,0.02108534,0.018722393,LAMA3/ENTPD2/COL17A1/F3/SLPI/APOE/GDF15/F12/TINAG/LMAN1L/ADAMTS10/LEFTY2/AHSG/HAPLN1/LAD1/C1QC/AZGP1/CPA3/SHH/MUC17/LGALS4/TPSAB1/C1QB/C1QA/SNORC/AMTN/TPSB2/S100A6/COL6A6/MMP28,30
GO:0016323,GO:0016323,basolateral plasma membrane,23/805,2.91E-05,0.000876539,0.000778309,SLC4A1/ITGA3/ERBB3/CDH17/CEACAM1/SLC4A11/VSIG1/CEACAM5/MET/CA9/SLC2A1/EPCAM/RAB17/ATP1B1/MARVELD2/CD300LG/AQP5/MYO1A/P2RY12/SLC9A4/CLDN7/CLDN4/AJAP1,23
GO:0098858,GO:0098858,actin-based cell projection,19/805,0.000913948,0.017523957,0.015560119,ITGA3/USH1C/PLEKHG6/CDHR2/CEACAM1/CDHR5/PVALB/CA9/FOXA1/LCP1/MYO1G/AQP5/VCAM1/S100P/MYO1A/ANKS4B/TBC1D10C/BAIAP2/SPN,19
GO:0042581,GO:0042581,specific granule,19/805,2.98E-05,0.000876539,0.000778309,AOC1/ITGAL/CEACAM1/CD33/HVCN1/SLPI/CHI3L1/CHIT1/DOCK2/TCN1/CD36/SLC27A2/CD53/ITGB2/CAMP/CYBB/CLEC4D/LAIR1/CLEC12A,19
GO:0001726,GO:0001726,ruffle,17/805,0.00069518,0.013935203,0.012373542,FGR/PTK6/FERMT1/MEFV/COBL/PLEK/ADGRE2/EPS8L1/LCP1/EPHA2/FGD2/SAMSN1/PLA2G4F/BAIAP2/S100A6/EPS8L3/AIF1,17
GO:0098862,GO:0098862,cluster of actin-based cell projections,16/805,0.000427972,0.008987408,0.007980226,USH1C/SCIN/NPC1L1/CDHR2/CDHR5/PVALB/MYH14/PLS1/ACE2/CD36/KCNK1/SLC7A11/AMN/MYO1A/PDZD3/ANKS4B,16
